course_name,platform,language,url
BLAST: Ferramenta de Alinhamentos Locais de Sequências,Udemy,Portuguese,https://www.classcentral.com/course/udemy-ncbi-blast-61243
Créer des diagrammes stratégiques d'entreprise avec Creately,Coursera,French,https://www.classcentral.com/course/creer-diagrammes-strategiques-entreprise-creately-66113
Créer des diagrammes de Buyer Persona avec Creately,Coursera,French,https://www.classcentral.com/course/creer-diagrammes-buyer-persona-creately-66333
Gephi 中文教程,Udemy,Chinese,https://www.classcentral.com/course/udemy-gephi-25770
تمثيل البيانات رسومياً باستخدام بايثون - Data Visualization,Coursera,Arabic,https://www.classcentral.com/course/data-visualization-python-ar-47952
Análises de Rede com Kumu,Coursera,Portuguese,https://www.classcentral.com/course/analises-rede-34200
نظره عامة عن البيانات المصورة باستخدام Tableau,Coursera,Arabic,https://www.classcentral.com/course/nazaruh-eamatan-ean-albayanat-almusawarat-biastik-58219
Series temporales con Facebook’ Prophet y NeuralProphet,Coursera,Spanish,https://www.classcentral.com/course/series-temporales-facebook-prophet-neuralprophet-55913
و تحميل البيانات و إخراجهاPandas شرح أساسيات استخدام  ,Coursera,Arabic,https://www.classcentral.com/course/explain-pandas-load-and-export-data-32700
Lucidchart: Mapas conceptuales y mentales dinámicos.,Coursera,Spanish,https://www.classcentral.com/course/diagramas-dinamicos-mentales-conceptuales-lucidch-40770
Introducción a Pandas para Data Science,Coursera,Spanish,https://www.classcentral.com/course/introduccion-a-pandas-para-data-science-34211
Análisis exploratorio de datos con Python y Pandas,Coursera,Spanish,https://www.classcentral.com/course/analisis-exploratorio-de-datos-con-python-y-panda-37696
Machine Learning con Spark (MLlib) en Databricks,Coursera,Spanish,https://www.classcentral.com/course/machine-learning-spark-mllib-databricks-22515
 Curso Completo de Spark con Databricks (Big Data),Coursera,Spanish,https://www.classcentral.com/course/curso-completo-spark-databricks-22457
Introdução a Mapas de Relação com Kumu,Coursera,Portuguese,https://www.classcentral.com/course/intro-kumu-22151
Introducción a los algoritmos de regresión,Coursera,Spanish,https://www.classcentral.com/course/introduccion-algoritmos-regresion-19582
Data Science Core,edX,English,https://www.classcentral.com/course/microsoft-data-science-core-18462
Analyse Exploratoire des Données (AED) dans R,Coursera,French,https://www.classcentral.com/course/analyse-exploratoire-des-donnees-dans-r-40668
Data Science Fundamentals,edX,English,https://www.classcentral.com/course/microsoft-data-science-fundamentals-18461
Leveraging Unstructured Data with Cloud Dataproc on Google Cloud Platform,Coursera,English,https://www.classcentral.com/course/leveraging-unstructured-data-dataproc-gcp-17877
Time series forecasting with Prophet,Coursera,English,https://www.classcentral.com/course/time-series-forecasting-with-prophet-40321
